PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40214990,Risk Factors for Severe Disease Among Children Hospitalized With Respiratory ,2025 Apr 1,,,
40214688,[The effect of phycocyanins from Arthrospira platensis on the efficacy of ,2025,Federal Research Centre of Nutrition,"Federal Research Centre of Nutrition, Biotechnology and Food Safety, 109240, ",
40214651,From Wuhan to Omicron K.P2 strain: A comprehensive review of SARS-CoV-2 phylogeny ,2025 Dec,,,
40214578,Nasal Spray Disinfectant for Respiratory Infections Based on Functionalized ,2025 Mar 31,Magna International Pte Ltd.,"Magna International Pte Ltd., 10 H Enterprise Road, Singapore 629834, Singapore.",
40214314,Comparing ChAdOx1 nCoV-19 Coronavirus Vaccine (Recombinant) (Covishield) and ,2025 Jan 1,,,
40213560,Differences in the inflammatory response and outcome among hospitalized patients ,2025,,,
40213557,Chimeric receptor-binding domain vaccine design and sequential immunization ,2025,Research and Development Department,"Research and Development Department, The Medium Therapeutics Co., Ltd., Suzhou, ; Research and Development Department, Changchun BCHT Biotechnology, Changchun, ",
40213556,Improved antibody breadth with an extended primary dose interval of COVID-19 ,2025,Department of Serology and Parasitology,"Department of Serology and Parasitology, Cadham Provincial Laboratory, Winnipeg, ",
40213555,Spike specific IgG3 and nucleocapsid IgG response in serum serve as ,2025,,,
40213554,Longitudinal cellular and humoral immune responses following COVID-19 ,2025,,,
